path	size	mode	count	status	crc_ok	resolved_entries
ms0\EU\DLCBGM\f01b9214.PDT	2512896	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x24e800, ZAPPIN@0x250000+0x15800
ms0\EU\DLCBGM\f01b9215.PDT	2328576	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x221000, ZAPPIN@0x222800+0x16000
ms0\EU\DLCBGM\f01b9216.PDT	2232320	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x20f000, ZAPPIN@0x210800+0x10800
ms0\EU\DLCBGM\f01b9217.PDT	2811904	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x29a000, ZAPPIN@0x29b800+0x13000
ms0\EU\DLCBGM\f01b9218.PDT	4544512	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x442000, ZAPPIN@0x443800+0x12000
ms0\EU\DLCBGM\f01b9219.PDT	4059136	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x3cb000, ZAPPIN@0x3cc800+0x12800
ms0\EU\DLCBGM\f01b921a.PDT	3602432	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x35c800, ZAPPIN@0x35e000+0x11800
ms0\EU\DLCBGM\f01b921b.PDT	2762752	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x290800, ZAPPIN@0x292000+0x10800
ms0\EU\DLCBGM\f01b921c.PDT	2723840	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x285800, ZAPPIN@0x287000+0x12000
ms0\EU\DLCBGM\f01b9233.PDT	1816576	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x1a7800, ZAPPIN@0x1a9000+0x12800
ms0\EU\DLCBGM\f01b9234.PDT	3256320	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x306000, ZAPPIN@0x307800+0x13800
ms0\EU\DLCBGM\f01b9235.PDT	3043328	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x2d1800, ZAPPIN@0x2d3000+0x14000
ms0\EU\DLCBGM\f01b9236.PDT	3450880	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x335800, ZAPPIN@0x337000+0x13800
ms0\EU\DLCBGM\f01b9237.PDT	2297856	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x21c800, ZAPPIN@0x21e000+0x13000
ms0\EU\DLCBGM\f01b9238.PDT	3258368	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x306000, ZAPPIN@0x307800+0x14000
ms0\EU\DLCTEX\ad1af1fb.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af1fc.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af1fd.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af1fe.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af1ff.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af200.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af201.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af202.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af203.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af204.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af21b.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af21c.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af21d.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af21e.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af21f.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af220.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
